입학년도,교과군,과목명,과목유형,선택규칙,학점,1-1학기,1-2학기,2-1학기,2-2학기,3-1학기,3-2학기
2026,국어,공통국어1,공통,,3,○,,,,,
2026,국어,공통국어2,공통,,3,,○,,,,
2026,국어,문학,일반선택,,4,,,○,,,
2026,국어,화법과 언어,일반선택,,4,,,,○,,
2026,국어,독서와 작문,일반선택,,4,,,,,○,
2026,국어,언어생활 탐구,융합선택,,3,,,,,,○
2026,수학,공통수학1,공통,,3,○,,,,,
2026,수학,공통수학2,공통,,3,,○,,,,
2026,수학,대수,일반선택,,4,,,○,,,
2026,수학,미적분Ⅰ,일반선택,,4,,,,○,,
2026,수학,확률과 통계,일반선택,,4,,,,,○,
2026,영어,공통영어1,공통,,3,○,,,,,
2026,영어,공통영어2,공통,,3,,○,,,,
2026,영어,영어Ⅰ,일반선택,,4,,,○,,,
2026,영어,영어Ⅱ,일반선택,,4,,,,○,,
2026,영어,영어 독해와 작문,일반선택,,4,,,,,○,
2026,영어,심화 영어,진로선택,,3,,,,,,○
2026,사회,한국사1,공통,,3,○,,,,,
2026,사회,한국사2,공통,,3,,○,,,,
2026,사회,통합사회1,공통,,4,○,,,,,
2026,사회,통합사회2,공통,,4,,○,,,,
2026,과학,통합과학1,공통,,4,○,,,,,
2026,과학,통합과학2,공통,,4,,○,,,,
2026,과학,과학탐구실험1,공통,,1,○,,,,,
2026,과학,과학탐구실험2,공통,,1,,○,,,,
2026,체육,체육1,일반선택,,2,○,,,,,
2026,체육,체육2,일반선택,,2,,○,,,,
2026,체육,스포츠 생활1,융합선택,,2,,,○,,,
2026,체육,스포츠 생활2,융합선택,,2,,,,○,,
2026,체육,스포츠 문화,진로선택,,1,,,,,○,
2026,체육,스포츠 과학,진로선택,,1,,,,,,○
2026,예술,음악,일반선택,,3,○,○,,,,
2026,예술,미술,일반선택,,3,○,○,,,,
2026,기술・가정/정보,기술·가정,일반선택,,3,○,○,,,,
2026,기술・가정/정보,정보,일반선택,,3,○,○,,,,
2026,교양,진로와 직업,일반선택,,2,○,○,,,,
2026,교양,생태와 환경,일반선택,,2,○,○,,,,
2026,수학,기하,진로선택,택4(3),3,,,○,,,
2026,사회,한국지리 탐구,진로선택,택4(3),3,,,○,,,
2026,사회,사회와 문화,일반선택,택4(3),3,,,○,,,
2026,사회,세계사,일반선택,택4(3),3,,,○,,,
2026,사회,윤리와 사상,진로선택,택4(3),3,,,○,,,
2026,사회,법과 사회,진로선택,택4(3),3,,,○,,,
2026,과학,물리학,일반선택,택4(3),3,,,○,,,
2026,과학,화학,일반선택,택4(3),3,,,○,,,
2026,과학,생명과학,일반선택,택4(3),3,,,○,,,
2026,과학,지구과학,일반선택,택4(3),3,,,○,,,
2026,제2외국어/한문,중국어,일반선택,택1(3),3,,,○,,,
2026,제2외국어/한문,일본어,일반선택,택1(3),3,,,○,,,
2026,제2외국어/한문,한문,일반선택,택1(3),3,,,○,,,
2026,제2외국어/한문,중국어 회화,진로선택,택1(3),3,,,,○,,
2026,제2외국어/한문,일본어 회화,진로선택,택1(3),3,,,,○,,
2026,제2외국어/한문,언어생활과 한자,융합선택,택1(3),3,,,,○,,
2026,국어,주제 탐구 독서,진로선택,택4(3),3,,,,○,,
2026,수학,인공지능 수학,진로선택,택4(3),3,,,,○,,
2026,수학,경제 수학,진로선택,택4(3),3,,,,○,,
2026,영어,세계 문화와 영어,융합선택,택4(3),3,,,,○,,
2026,사회,동아시아 역사 기행,진로선택,택4(3),3,,,,○,,
2026,사회,현대사회와 윤리,일반선택,택4(3),3,,,,○,,
2026,사회,세계시민과 지리,일반선택,택4(3),3,,,,○,,
2026,사회,경제,진로선택,택4(3),3,,,,○,,
2026,사회,정치,진로선택,택4(3),3,,,,○,,
2026,과학,역학과 에너지,진로선택,택4(3),3,,,,○,,
2026,과학,물질과 에너지,진로선택,택4(3),3,,,,○,,
2026,과학,세포와 물질대사,진로선택,택4(3),3,,,,○,,
2026,과학,지구시스템과학,진로선택,택4(3),3,,,,○,,
2026,국어,문학과 영상,진로선택,택4(3),3,,,,,○,
2026,수학,미적분Ⅱ,진로선택,택4(3),3,,,,,○,
2026,수학,고급 대수,진로선택,택4(3),3,,,,,○,
2026,영어,영미 문학 읽기,진로선택,택4(3),3,,,,,○,
2026,사회,역사로 탐구하는 현대 세계,융합선택,택4(3),3,,,,,○,
2026,사회,여행지리,융합선택,택4(3),3,,,,,○,
2026,사회,사회문제 탐구,융합선택,택4(3),3,,,,,○,
2026,사회,윤리문제 탐구,융합선택,택4(3),3,,,,,○,
2026,과학,전자기와 양자,진로선택,택4(3),3,,,,,○,
2026,과학,화학 반응의 세계,진로선택,택4(3),3,,,,,○,
2026,과학,생물의 유전,진로선택,택4(3),3,,,,,○,
2026,과학,행성우주과학,진로선택,택4(3),3,,,,,○,
2026,과학,융합과학 탐구,융합선택,택4(3),3,,,,,○,
2026,과학,고급 물리학,진로선택,택4(3),3,,,,,○,
2026,과학,고급 화학,진로선택,택4(3),3,,,,,○,
2026,정보,인공지능 기초,진로선택,택4(3),3,,,,,○,
2026,제2외국어/한문,중국 문화,융합선택,택4(3),3,,,,,○,
2026,제2외국어/한문,일본 문화,융합선택,택4(3),3,,,,,○,
2026,제2외국어/한문,한문 고전 읽기,진로선택,택4(3),3,,,,,○,
2026,체육,운동과 건강,진로선택,택4(3),3,,,,,○,
2026,예술,음악과 미디어,융합선택,택4(3),3,,,,,○,
2026,예술,미술과 매체,융합선택,택4(3),3,,,,,○,
2026,예술,음악 연주와 창작,진로선택,택1(2),2,,,,,○,
2026,예술,미술 창작,진로선택,택1(2),2,,,,,○,
2026,예술,음악 감상과 비평,진로선택,택1(2),2,,,,,,○
2026,예술,미술 감상과 비평,진로선택,택1(2),2,,,,,,○
2026,국어,독서 토론과 글쓰기,융합선택,택3(3),3,,,,,,○
2026,수학,고급 미적분,진로선택,택3(3),3,,,,,,○
2026,수학,수학과제 탐구,융합선택,택3(3),3,,,,,,○
2026,영어,실생활 영어 회화,융합선택,택3(3),3,,,,,,○
2026,정보,소프트웨어와 생활,진로선택,택3(3),3,,,,,,○
2026,제2외국어/한문,심화 중국어,진로선택,택3(3),3,,,,,,○
2026,제2외국어/한문,심화 일본어,진로선택,택3(3),3,,,,,,○
2026,제2외국어/한문,한문 고전 읽기,진로선택,택3(3),3,,,,,,○
2026,체육,기초 체육 전공 실기,진로선택,택3(3),3,,,,,,○
2026,예술,미술 전공 실기,진로선택,택3(3),3,,,,,,○
2026,예술,음악 이론,진로선택,택3(3),3,,,,,,○
2026,사회,역사로 탐구하는 현대 세계,융합선택,택3(3),3,,,,,,○
2026,사회,기후변화와 지속가능한 세계,융합선택,택3(3),3,,,,,,○
2026,사회,금융과 경제생활,융합선택,택3(3),3,,,,,,○
2026,사회,인문학과 윤리,진로선택,택3(3),3,,,,,,○
2026,과학,과학의 역사와 문화,융합선택,택3(3),3,,,,,,○
2026,과학,기후변화와 환경생태,융합선택,택3(3),3,,,,,,○
2025,국어,공통국어1,공통,,3,○,,,,,
2025,국어,공통국어2,공통,,3,,○,,,,
2025,국어,문학,일반선택,,4,,,○,,,
2025,국어,화법과 언어,일반선택,,4,,,,○,,
2025,국어,독서와 작문,일반선택,,4,,,,,○,
2025,국어,언어생활 탐구,융합선택,,3,,,,,,○
2025,수학,공통수학1,공통,,3,○,,,,,
2025,수학,공통수학2,공통,,3,,○,,,,
2025,수학,대수,일반선택,,4,,,○,,,
2025,수학,미적분Ⅰ,일반선택,,4,,,,○,,
2025,수학,확률과 통계,일반선택,,4,,,,,○,
2025,영어,공통영어1,공통,,3,○,,,,,
2025,영어,공통영어2,공통,,3,,○,,,,
2025,영어,영어Ⅰ,일반선택,,4,,,○,,,
2025,영어,영어Ⅱ,일반선택,,4,,,,○,,
2025,영어,영어 독해와 작문,일반선택,,4,,,,,○,
2025,영어,심화 영어,진로선택,,3,,,,,,○
2025,사회,한국사1,공통,,3,○,,,,,
2025,사회,한국사2,공통,,3,,○,,,,
2025,사회,통합사회1,공통,,4,○,,,,,
2025,사회,통합사회2,공통,,4,,○,,,,
2025,과학,통합과학1,공통,,4,○,,,,,
2025,과학,통합과학2,공통,,4,,○,,,,
2025,과학,과학탐구실험1,공통,,1,○,,,,,
2025,과학,과학탐구실험2,공통,,1,,○,,,,
2025,체육,체육1,일반선택,,2,○,,,,,
2025,체육,체육2,일반선택,,2,,○,,,,
2025,체육,스포츠 생활1,융합선택,,2,,,○,,,
2025,체육,스포츠 생활2,융합선택,,2,,,,○,,
2025,체육,스포츠 문화,진로선택,,1,,,,,○,
2025,체육,스포츠 과학,진로선택,,1,,,,,,○
2025,예술,음악,일반선택,,3,○,○,,,,
2025,예술,미술,일반선택,,3,○,○,,,,
2025,기술・가정/정보,기술·가정,일반선택,,3,○,○,,,,
2025,기술・가정/정보,정보,일반선택,,3,○,○,,,,
2025,교양,진로와 직업,일반선택,,2,○,○,,,,
2025,교양,생태와 환경,일반선택,,2,○,○,,,,
2025,수학,기하,진로선택,택4(3),3,,,○,,,
2025,사회,한국지리 탐구,진로선택,택4(3),3,,,○,,,
2025,사회,사회와 문화,일반선택,택4(3),3,,,○,,,
2025,사회,세계사,일반선택,택4(3),3,,,○,,,
